1;日;SUN ・ DAY ・ JAPAN
2;一;ONE
3;二;TWO
4;三;THREE
5;十;TEN
6;四;FOUR
7;五;FIVE
8;六;SIX
9;七;SEVEN
10;八;EIGHT
11;九;NINE
12;丸;ROUND
13;円;CIRCLE ・ YEN
14;○;ZERO ・ CIRCLE MARK
15;人;HUMAN BEING
16;百;HUNDRED
17;千;THOUSAND
18;万;TEN THOUSAND
19;口;MOUTH
20;田;RICE FIELD
21;目;EYE ・ ITEM
22;川;RIVER
23;月;MOON ・ MONTH
24;明;BRIGHT ・ CLEAR
25;曜;DAY OF THE WEEK
26;火;FIRE
27;水;WATER
28;木;TREE ・ WOOD
29;金;METAL ・ GOLD ・ MONEY
30;土;SOIL
31;本;BASIS ・ BOOK ・ THIS
32;東;EAST
33;大;BIG ・ UNIVERSITY
34;小;SMALL
35;中;MIDDLE ・ IN ・ CHINA
36;生;LIFE ・ BE BORN ・ STUDENT
37;山;MOUNTAIN
38;出;GO OUT ・ PUT OUT
39;入;ENTER ・ PUT IN
40;下;DOWN
41;上;UP
42;止;STOP
43;正;RIGHT
44;足;FOOT ・ SUFFICE
45;定;FIX
46;手;HAND ・ PERFORMER OF AN ACTION
47;用;EMPLOY ・ THINGS TO DO
48;無;WITHOUT ・ NOTHING
49;不;NOT
50;回;TURN ROUND ・ TIME
51;言;SAY ・ SPEECH
52;舌;TONGUE
53;話;SPEAK
54;活;ACTIVE ・ LIVE
55;行;GO ・ ACT ・ LINE
56;心;HEART
57;耳;EAR
58;又;AGAIN ・ OR
59;取;TAKE
60;身;BODY ・ ONE'S PERSON ・ SOCIAL POSITION
61;休;REST
62;体;BODY ・ FORM
63;信;BELIEVE ・ MESSAGE
64;付;ATTACH
65;受;RECEIVE
66;以;TO THE...OF ・ BY MEANS OF
67;立;STAND ・ ESTABLISH
68;部;SECTION
69;倍;TIMES ・ DOUBLE
70;成;BECOME ・ ACHIEVE
71;代;REPLACE ・ GENERATION ・ CHARGE
72;王;KING
73;玉;GEM
74;宝;TREASURE
75;国;COUNTRY
76;白;WHITE
77;皇;EMPEROR
78;全;WHOLE
79;書;WRITE ・ BOOK
80;事;AFFAIR ・ ABSTRACT THING
81;自;SELF
82;貝;SHELLFISH
83;見;SEE
84;力;POWER
85;刀;SWORD
86;切;CUT
87;刃;BLADE
88;分;DIVIDE ・ PART ・ MINUTE
89;公;PUBLIC
90;別;SEPARATE ・ ANOTHER
91;長;LONG ・ CHIEF
92;男;MAN
93;女;WOMAN
94;子;CHILD ・ NOUN SUFFIX
95;好;LIKE ・ FAVORABLE
96;安;PEACEFUL ・ INEXPENSIVE
97;案;PROPOSAL
98;字;CHARACTER
99;学;STUDY ・ EDUCATIONAL INSTITUTION
100;父;FATHER
101;文;WRITINGS ・ LETTER
102;交;INTERCOURSE ・ CROSS
103;校;SCHOOL ・ PROOFREAD
104;母;MOTHER
105;毎;EVERY
106;海;SEA
107;者;PERSON
108;工;MANUFACTURE ・ CONSTRUCTION
109;式;FORM ・ CEREMONY ・ FORMULA
110;弐;TWO
111;武;MILITARY
112;糸;THREAD
113;前;BEFORE
114;後;AFTER
115;午;NOON ・  THE HORSE
116;牛;CATTLE
117;年;YEAR
118;件;MATTER
119;条;ARTICLE
120;化;CHANGE INTO
121;花;FLOWER
122;北;NORTH
123;比;COMPARE ・ PHONETIC [HI]
124;背;BACK
125;車;VEHICLE ・ WHEEL
126;気;GAS ・ SPIRIT
127;汽;STEAM
128;性;NATURE ・ SEX ・ -ITY
129;畑;FIELD
130;青;BLUE
131;麦;WHEAT
132;素;ELEMENT ・ PLAIN
133;毒;POISON
134;先;AHEAD
135;洗;WASH
136;元;ORIGIN
137;光;LIGHT
138;去;GO AWAY
139;法;LAW ・ METHOD
140;走;RUN
141;当;THE PRESENT ・ HIT
142;思;THINK
143;早;EARLY ・ QUICK
144;草;GRASS
145;朝;MORNING ・ DYNASTY
146;潮;TIDE
147;形;SHAPE
148;発;OPEN UP ・ EMIT ・ START
149;廃;ABANDON ・ WASTE
150;音;SOUND
151;意;MIND ・ MEANING
152;作;MAKE ・ WORK
153;昨;YESTERDAY ・ LAST
154;雨;RAIN
155;電;ELECTRICITY
156;頁;PAGE
157;首;HEAD ・ NECK ・ LEADER
158;道;WAY
159;通;PASS ・ COMMUNICATE
160;乳;MILK
161;豆;BEAN
162;頭;HEAD
163;予;IN ADVANCE
164;矛;HALBERD
165;預;DEPOSIT
166;句;PHRASE ・ HAIKU
167;旬;TEN-DAY PERIOD
168;勺;<SHAKU> (0.018L)
169;的;TARGET ・ ADJECTIVAL SUFFIX
170;約;PROMISE ・ SHORTEN ・ APPROXIMATELY
171;勿;DO NOT
172;物;THING
173;方;DIRECTION ・ WAY ・ SQUARE
174;防;DEFEND AGAINST
175;面;FACE
176;画;PICTURE ・ DRAW UP A PLAN
177;両;BOTH
178;岡;HILL
179;満;FULL
180;顔;FACE
181;産;GIVE BIRTH ・ PRODUCE
182;同;SAME
183;向;TURN TOWARD
184;尚;STILL (MORE) ・ VALUE HIGHLY
185;高;HIGH ・ AMOUNT
186;圧;PRESSURE
187;地;GROUND ・ PLACE
188;池;POND
189;他;OTHER
190;集;GATHER
191;進;ADVANCE
192;込;MOVE INWARD ・ EMPHATIC VERBAL SUFFIX
193;斤;<KIN> (600g)
194;近;NEAR ・ RECENT
195;辺;VICINITY ・ BORDERLAND
196;最;MOST
197;皿;PLATE
198;血;BLOOD
199;温;WARM
200;湿;MOIST
201;爪;CLAW
202;瓜;MELON
203;巾;CLOTH
204;布;CLOTH ・ SPREAD
205;市;CITY ・ MARKET
206;吊;HANG
207;泉;SPRING
208;原;PLAIN ・ ORIGINAL
209;源;SOURCE
210;線;LINE
211;綿;COTTON
212;絹;SILK
213;錦;BROCADE
214;願;WISH ・ ASK A FAVOR
215;内;INSIDE
216;肉;FLESH
217;猪;WILD BOAR
218;豚;PIG
219;家;HOUSE ・ FAMILY
220;吾;EGO
221;我;SELF
222;語;WORD ・ LANGUAGE ・ TELL
223;伝;TRANSMIT
224;転;TURN
225;芸;ART
226;会;MEET ・ SOCIETY
227;合;COMBINE ・ FIT
228;今;PRESENT ・ THIS
229;令;COMMAND
230;念;THOUGHTS
231;印;SEAL
232;命;ORDER ・ LIFE ・ FATE
233;亡;DECEASED
234;米;RICE ・ AMERICA
235;粒;GRAIN
236;和;HARMONIOUS ・ PEACE ・ JAPAN
237;私;PRIVATE ・ I
238;広;WIDE
239;細;SLENDER ・ MINUTE
240;林;FOREST
241;森;THICK WOODS
242;松;PINE
243;竹;BAMBOO
244;都;METROPOLIS ・ METROPOLIS OF TOKYO
245;京;CAPITAL ・ TOKYO ・ KYOTO
246;政;POLITICAL ADMINISTRATION
